Name,key_mlbam
Rodolfo Fernández,819568
Pablo Fernández,819567
Toots Ferrell,819563
Coco Ferrer,819562
Willie Ferrell,819561
Pedro Ferrer,819557
George Fiall,819556
James Field,819554
Tom Fiall,819553
Benny Fields,819550
Cliff Fields,819549
Buddy Fields,819547
Rafael Figarola,819545
Enrique Figueroa,819544
Wilmer Fields,819543
John Fifer,819542
Joe Fillmore,819541
Rayford Finch,819540
Tom Finley,819538
José Figueroa,819537
John Finner,819536
George Fisher,819535
Ed Finney,819534
Bill Fitch,819530
Joe Fleet,819529
Gerard Fitzgerald,819528
John Fitzpatrick,819527
John Fitzgerald,819526
Frank Fleming,819523
Johnny Flowers,819519
Frank Forbes,819510
Robert Footes,819509
Jake Foote,819508
Bill Ford,819507
George Ford,819506
Bill Force,819505
Bob Ford,819503
Jimmy Ford,819502
John Ford,819500
Zack Foreman,819499
Sylvester Foreman,819498
James Forrest,819497
Percy Forrest,819494
Pedro Formental,819493
Ervin Fowlkes,819490
Bill Foster,819488
Leland Foster,819486
L. Franklin,819485
Otis Francis,819484
Bill Francis,819482
Albert Frazier,819478
Flash Frazier,819477
Oran Frazier,819476
Bill Freeman,819474
Mauricio Funes,819468
William Fuller,819465
Jimmy Fuller,819464
Gus Gadsden,819463
Jonas Gaines,819459
Cándido Gálvez,819455
Domingo Gámiz,819452
Judy Gans,819450
William Gamble,819449
Márgaro Gámiz,819448
Chano García,819447
Angel García,819445
Cocaína García,819443
Regino García,819435
Silvio García,819434
Ping Gardner,819432
Spike Garrett,819427
Tom Garrett,819421
Gil Garrido,819420
Charles Gary,819418
Robert Gaston,819416
Ernest Gatewood,819411
Herbert Gay,819410
Louis Gatewood,819409
Bill Gatewood,819408
Willie Gay,819406
Tom Gee,819405
Alphonso Gerard,819404
John George,819402
Sammy Gee,819401
Rich Gee,819400
Walter Gibbons,819398
John Gibbons,819395
Paul Gibson,819392
Jim Gifford,819391
Dennis Gilchrist,819390
Jerry Gibson,819389
George Giles,819385
George Gill,819384
Henry Gillespie,819383
Pen Gilliard,819382
Lefty Gilmore,819381
Murray Gillispie,819380
Arthur Gilliard,819378
Luther Gilyard,819376
Willie Gisentaner,819375
Ted Gipson,819374
Alvin Gipson,819373
Ben Glaspy,819372
Hap Glenn,819371
Oscar Givens,819370
Carl Glass,819369
Manuel Godínez,819366
Hubert Glenn,819364
Stanley Glenn,819363
Tom Glover,819362
Mike Goetz,819361
Walter Goines,819360
Alf Goldie,819357
Fred Goliah,819355
Clyde Golden,819354
Sijo Gómez,819351
David Gómez,819349
Gervasio González,819342
Luis Gonzalez,819338
Ramón González,819334
Johnny Goodgame,819331
Ernest Gooden,819328
Sam Gordon,819325
Bus Gordon,819324
Herman Gordon,819323
Joe Goodrich,819321
Lafayette Gould,819320
Harold Gould,819319
Wallace Gordon,819317
Dennis Graham,819313
Ramón Govantes,819312
Willie Grace,819311
Charlie Grant,819308
Rabbit Granger,819306
Bob Graves,819305
Leroy Grant,819301
Abe Gray,819300
Chesley Gray,819297
Emerson Gray,819296
Chappie Gray,819295
Willie Gray,819294
George Grayer,819293
Ostranda Gray,819290
Curtis Green,819289
Honey Green,819288
Leslie Green,819287
Julius Green,819286
Joe Green,819284
Victor Greenidge,819283
Willie Green,819282
Joe Greene,819280
Claude Grier,819276
Pete Gregory,819275
Clarence Griffin,819273
Leonard Griffin,819271
John Griffin,819270
Roland Griffin,819269
Robert Griffin,819267
Ted Griffith,819266
Bob Griffith,819265
Silas Griffin,819264
Wiley Griggs,819263
Acie Griggs,819262
Adolphus Grimes,819257
Marcelino Guerra,819254
Felix Guilbe,819253
Nap Gulley,819247
Juan Guilbe,819246
Teddy Gunn,819244
Earl Gurley,819243
Speedball Hackett,819240
Charlie Hackett,819239
José Gutiérrez,819238
Harold Hairston,819236
Red Hadley,819235
José Haddad,819234
Napoleon Hairston,819233
Red Hale,819231
J. B. Hairstone,819230
Red Haley,819227
Blainey Hall,819226
Charley Hall,819225
Bad News Hall,819224
Clem Hall,819221
Sell Hall,819220
Eppie Hamilton,819218
Perry Hall,819216
L. Hamilton,819214
Don Hammond,819213
Ted Hamilton,819212
J. H. Hamilton,819211
J. C. Hamilton,819210
Jim Hamilton,819209
Charlie Hancock,819208
Bill Handy,819207
George Handy,819206
Art Hancock,819205
Lucius Hampton,819204
J. B. Hampton,819203
Henry Hannon,819202
Leo Hannibal,819201
Jack Hannibal,819197
Wesley Hardiman,819195
Lovell Harden,819194
C. Hardy,819191
Paul Hardy,819190
Roy Harding,819189
Halley Harding,819188
Walter Hardy,819181
George Harney,819178
John Harper,819177
Chick Harper,819176
Dave Harper,819174
Walter Harper,819173
Andy Harris,819170
Curtis Harris,819167
Charlie Harris,819166
Bill Harris,819165
Ben Harris,819163
George Harris,819161
Henry Harris,819159
Horace Harris,819157
Nate Harris,819154
Lefty Harris,819153
John Harris,819152
Neal Harris,819151
Sonny Harris,819150
Roger Harris,819149
Sammy Harris,819148
Tommy Harris,819147
Win Harris,819146
Vic Harris,819145
Wilmer Harris,819144
Battler Harrison,819143
Vernon Harrison,819137
Garrell Hartman,819135
Bob Harvey,819134
Andy Harvey,819133
Bill Harvey,819132
Rufus Hatchett,819129
Lefty Harvey,819128
Rufus Hatten,819125
Lemuel Hawkins,819124
John Hawkins,819123
Willie Hawk,819122
Robert Hawkins,819119
Buddy Hayes,819115
Johnny Hayes,819113
Bun Hayes,819112
Charley Hayes,819111
Leroy Haynes,819103
Esco Haynes,819102
Jim Haynes,819101
Sammy Haynes,819100
Buster Haywood,819099
Willie Haynes,819097
Claude Hayslett,819096
Art Hefner,819094
Rafael Hechevarría,819089
Mack Heller,819087
Bunk Henderson,819082
Ben Henderson,819081
Rats Henderson,819078
Leonard Henderson,819077
Les Henderson,819076
Curtis Henderson,819075
Henry Henderson,819074
Rube Henderson,819073
Scottie Hendrix,819069
Logan Hensley,819068
Charlie Henry,819067
Otis Henry,819066
Preacher Henry,819065
Ramón Heredía,819064
Alex Herman,819063
Alberto Hernández,819062
Cheo Hernández,819056
Ramón Hernández,819046
Ricardo Hernández,819044
Babe Herron,819038
Walter Hewett,819037
Mose Herring,819036
Joe Hewitt,819034
Jimmy Hicks,819033
Fred Hicks,819032
Charles Heywood,819031
Alonzo Hicks,819030
Barney Higdon,819028
Heliodoro Hidalgo,819027
Robert Higbee,819025
Ben Hill,819021
Charley Hill,819020
Fred Hill,819019
Johnson Hill,819018
Jonathan Hill,819017
Lee Hill,819016
Johnny Hill,819015
Jimmy Hill,819014
John Hines,819013
Sam Hill,819012
Pete Hill,819009
Bruce Hocker,819008
Fred Hobgood,819007
Babe Hobson,819006
Archie Hinton,819004
Bill Hodge,818999
George Holcomb,818997
Lew Holland,818992
Curtis Hollingsworth,818991
Billy Holland,818990
Flit Holliday,818989
Bill Holland,818988
Johnny Holmes,818987
Crush Holloway,818984
Stamp Holly,818982
Dana Holt,818981
Lefty Holmes,818979
Floyd Holston,818978
Philly Holmes,818977
Frog Holsey,818976
Leniel Hooker,818974
Emmett Hopkins,818972
Dozier Hood,818971
Eddie Holtz,818970
Will Horn,818969
Reginald Hopwood,818968
Billy Horne,818967
Clyde Horne,818966
Charley House,818964
Bill Hoskins,818962
Tick Houston,818961
Jesse Houston,818960
Carl Howard,818957
Bill Howard,818956
Percy Howard,818951
Red Howard,818950
Carrenza Howard,818949
Nat Howard,818948
Telosh Howard,818946
Henry Howell,818945
Jesse Hubbard,818944
C. Hubert,818942
Larry Hubbard,818941
John Huber,818939
Willie Hubert,818938
Willie Hudson,818937
William Hudson,818936
Charles Hudson,818935
Eddie Huff,818933
Robert Hudspeth,818932
Charlie Humber,818929
Sammy Hughes,818928
Robert Hughes,818927
Charlie Hughes,818926
Grover Hunt,818923
Johnny Hundley,818919
Bert Hunter,818917
Tom Hunter,818914
Eugene Hunter,818913
Oscar Hutt,818911
Cowan Hyde,818910
Fred Hutchinson,818909
Willie Hutchinson,818908
Cal Irvin,818898
Clarence Isreal,818896
K. B. Ivory,818895
Will Jackman,818894
Big Train Jackson,818878
Bozo Jackson,818877
Dick Jackson,818875
Francis Jackson,818874
Edgar Jackson,818873
General Jackson,818868
Freddie Jackson,818867
Jack Jackson,818866
Guy Jackson,818865
Jelly Jackson,818864
Matthew Jackson,818863
Lefty Jackson,818862
Lincoln Jackson,818860
Sam Jackson,818854
Tom Jackson,818851
W. Jackson,818850
Sanford Jackson,818849
Will Jackson,818846
Tice James,818845
Tincy Jamerson,818844
Eddie Jacobs,818843
Clarence Jaggers,818842
Knucks James,818841
Gus James,818840
Horace Jarnagin,818839
Donald Jarmon,818837
Eddie Jefferson,818831
Don Jefferson,818830
John Jasper,818829
Jim Jeffries,818828
Harry Jeffries,818827
Willie Jefferson,818826
George Jefferson,818825
Ralph Jefferson,818824
Charlie Jemison,818822
M. Jeffries,818821
Sonny Boy Jeffries,818820
Barney Jenkins,818819
Honey Jenkins,818818
Fats Jenkins,818817
Ben Jenkins,818816
Bill Jenkins,818815
Horace Jenkins,818814
Joe Jenkins,818813
Pee Wee Jenkins,818811
Vail Jewell,818805
Gentry Jessup,818804
Eusebio Jiménez,818802
Bienvenido Jiménez,818798
Bill Johnson,818779
Al Johnson,818776
Bert Johnson,818775
Bucky Johnson,818772
Buster Johnson,818771
Bob Johnson,818770
Cannonball Johnson,818769
Dicta Johnson,818768
Eddie Johnson,818767
Chappie Johnson,818766
Claude Johnson,818764
Frank Johnson,818763
George Johnson,818762
Fred Johnson,818761
Grant Johnson,818760
Jimmy Johnson,818758
Jack Johnson,818756
Heavy Johnson,818753
Johnny Johnson,818747
Leamon Johnson,818746
Josh Johnson,818745
Judy Johnson,818744
John Wesley Johnson,818743
Mex Johnson,818740
Leonard Johnson,818739
Lee Johnson,818738
M. Johnson,818737
Lefty Johnson,818736
Pearley Johnson,818735
Moose Johnson,818733
